container,Match,Container,Pallet,notes,Created TS
00008178101114015822,TRUE,TRUE,TRUE,,3/2/2021 11:14:59 AM
00008178101114016454,TRUE,TRUE,TRUE,,3/2/2021 11:14:09 AM
00008178101114016843,TRUE,FALSE,TRUE,,3/2/2021 2:12:17 PM
00008178101114016867,TRUE,TRUE,TRUE,,3/2/2021 2:16:44 PM
00008178101114017307,TRUE,TRUE,TRUE,,3/2/2021 2:13:35 PM
00008178101114017314,TRUE,TRUE,TRUE,,3/2/2021 2:27:57 PM
00008178101114017345,TRUE,TRUE,TRUE,,3/2/2021 2:11:35 PM
00008178101114022820,TRUE,TRUE,TRUE,,3/2/2021 11:04:08 AM
00008178101114023568,TRUE,TRUE,TRUE,,3/2/2021 11:03:37 AM
00008178101114038166,TRUE,TRUE,TRUE,,3/3/2021 8:53:01 AM
